,Armed Assault,Bombing/Explosion,Facility/Infrastructure Attack,Assassination,Hostage Taking (Kidnapping),Unknown,Unarmed Assault,Hostage Taking (Barricade Incident),Hijacking,Firearms,Explosives,Incendiary,Unknown.1,Melee,Sabotage Equipment,Other,Private Citizens & Property,Government (Diplomatic),Business,Government (General),Religious Figures/Institutions,Military,Police,Educational Institution,Airports & Aircraft,Unknown.2,Telecommunication,Transportation,NGO,Journalists & Media,Food or Water Supply,Tourists,Utilities,Terrorists/Non-State Militia,Other.1,Violent Political Party,Maritime
2268,0.14583333333333334,1.0,0.0,0.14583333333333334,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.5161290322580645,0.12903225806451613,0.0,0.22580645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2269,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
2271,0.4166666666666667,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.3707865168539326,1.0,0.0,0.06741573033707865,0.06741573033707865,0.0,0.0,0.6190476190476191,0.0,0.0,0.6190476190476191,0.0,0.7619047619047619,1.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2272,0.4,1.0,0.14285714285714285,0.0,0.17142857142857143,0.0,0.0,0.0,0.0,0.5,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.25,0.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2273,1.0,0.475,0.125,0.125,0.175,0.0,0.0,0.0,0.0,1.0,0.31666666666666665,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34146341463414637,0.17073170731707318,0.0,0.3902439024390244,0.0,0.0,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2274,0.0,1.0,0.0,0.1076923076923077,0.06153846153846154,0.0,0.0,0.0,0.0,0.16923076923076924,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35135135135135137,0.0,0.24324324324324326,0.8918918918918919,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2275,0.14035087719298245,0.18421052631578946,1.0,0.23684210526315788,1.0,0.0,0.0,0.0,0.0,1.0,0.27848101265822783,0.7215189873417721,0.0,0.0,0.0,0.0,0.054093567251461985,0.0,0.0,0.04093567251461988,0.01023391812865497,0.0,0.01023391812865497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01023391812865497,0.0
2276,1.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2277,1.0,0.9310344827586207,0.0,0.0,0.20689655172413793,0.0,0.0,0.0,0.0,0.6862745098039216,1.0,0.0,0.0,0.1568627450980392,0.0,0.0,0.47058823529411764,0.0,0.0,0.11764705882352941,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278,0.0,1.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2279,0.65,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.25,0.0,0.25,1.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2281,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2282,0.09523809523809523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09574468085106383,1.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.3508771929824561,0.10526315789473684,0.10526315789473684,1.0,0.15789473684210525,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2283,0.14666666666666667,0.6533333333333333,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.37333333333333335,0.6533333333333333,0.0,1.0,0.0,0.0,0.0,0.7547169811320755,0.0,0.0,0.0,0.0,0.0,1.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2284,0.18461538461538463,1.0,0.13846153846153847,0.0,0.13846153846153847,0.046153846153846156,0.0,0.0,0.0,0.18333333333333332,1.0,0.13333333333333333,0.05,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2285,1.0,0.3333333333333333,0.0,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.5333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.75,0.0,0.4166666666666667,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
2286,0.17391304347826086,1.0,0.0,0.17391304347826086,0.17391304347826086,0.0,0.0,0.0,0.0,0.38095238095238093,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4090909090909091,0.0,0.4090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2287,0.0,1.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,1.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2288,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.4090909090909091,1.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2289,0.0,1.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,1.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.1875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290,0.46153846153846156,1.0,0.0,0.19230769230769232,0.19230769230769232,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30303030303030304,0.0,0.15151515151515152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2291,0.14583333333333334,1.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.22,1.0,0.065,0.065,0.0,0.0,0.0,0.5445544554455446,0.0,0.0,0.27722772277227725,0.0,0.0,1.0,0.12871287128712872,0.0,0.12871287128712872,0.0,0.06930693069306931,0.0,0.0,0.0,0.0,0.12871287128712872,0.0,0.0,0.0,0.0
2292,0.25,1.0,0.0,0.09090909090909091,0.1590909090909091,0.0,0.0,0.0,0.0,0.22,1.0,0.0,0.14,0.0,0.0,0.0,1.0,0.0,0.0,0.13157894736842105,0.13157894736842105,0.5263157894736842,0.6578947368421053,0.0,0.0,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2293,1.0,0.19047619047619047,0.23809523809523808,0.0,0.19047619047619047,0.0,0.19047619047619047,0.0,0.0,1.0,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2294,0.803921568627451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417910447761194,1.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.09,0.09,0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2295,0.0,1.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,1.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2296,0.4782608695652174,1.0,0.0,0.20869565217391303,0.0,0.0,0.0,0.0,0.0,0.7913043478260869,1.0,0.0,0.0,0.0,0.0,0.0,0.4496124031007752,0.0,0.10077519379844961,0.10077519379844961,0.10077519379844961,0.10077519379844961,1.0,0.0,0.0,0.10077519379844961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2297,0.5384615384615384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,1.0,0.0,0.0,0.0,0.0,0.0,0.40816326530612246,0.0,0.0,0.10204081632653061,0.16326530612244897,0.16326530612244897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2299,0.2222222222222222,1.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.23255813953488372,0.0,0.0,1.0,0.0,0.0,0.16279069767441862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14814814814814814,0.5925925925925926,0.0,0.0,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2301,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0
2302,0.4074074074074074,0.6296296296296297,0.0,0.25925925925925924,1.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2303,0.22916666666666666,1.0,0.0,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.375,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2304,0.375,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2305,0.21052631578947367,1.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.2894736842105263,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21333333333333335,0.09333333333333334,0.0,0.26666666666666666,0.21333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306,0.21739130434782608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
